cluster,event_id,year,name,start_date,end_date,discipline,category,level,location,venue,result_count
Cups / opens / trophies / invitationals,412,2019,Tiger Cup,2019-03-08,2019-03-09,WAG,junior and senior,International Event,,,352
Cups / opens / trophies / invitationals,357,2019,Calgary International Cup,2019-03-15,2019-03-17,MAG,senior,International Event,,,80
Cups / opens / trophies / invitationals,265,2019,DTB Team Challenge,2019-03-15,2019-03-17,MAG and WAG,senior,International Event,,,674
Cups / opens / trophies / invitationals,253,2019,Polish Men's Cup,2019-03-15,2019-03-16,MAG,junior and senior,International Event,,,186
Cups / opens / trophies / invitationals,376,2019,Polish Women's Cup,2019-03-15,2019-03-17,WAG,junior,International Event,,,127
Other named international meets,426,2019,1st Norwegian FIG Meet,2019-03-23,2019-03-24,WAG,junior and senior,International Event,,,251
Cups / opens / trophies / invitationals,230,2019,Stella Zakharova Cup,2019-03-28,2019-03-31,MAG and WAG,junior and senior,International Event,,,791
Cups / opens / trophies / invitationals,220,2019,Unni & Haralds Trophy,2019-03-29,2019-03-31,MAG and WAG,junior and senior,International Event,,,1063
Cups / opens / trophies / invitationals,387,2019,Elek Matolay Memorial,2019-03-30,2019-03-31,WAG,junior and senior,International Event,,,633
Cups / opens / trophies / invitationals,215,2019,International Junior Team Cup,2019-04-05,2019-04-05,MAG,junior and senior,International Event,,,1168
Cups / opens / trophies / invitationals,417,2019,Pre-Olympic Youth Cup,2019-04-06,2019-04-06,WAG,junior,International Event,,,259
Preparation / test / friendly events,298,2019,European Games Test Event,2019-04-25,2019-04-27,MAG and WAG,junior and senior,International Event,,,326
Other named international meets,268,2019,International GymSport,2019-04-27,2019-04-28,MAG and WAG,junior and senior,International Event,,,618
Cups / opens / trophies / invitationals,358,2019,NHK Trophy,2019-05-18,2019-05-19,MAG and WAG,junior and senior,International Event,,,348
Regional or sub-continental events,214,2019,Nordic Junior Championships,2019-05-18,2019-05-19,MAG and WAG,junior,International Event,,,558
Cups / opens / trophies / invitationals,439,2019,Rus Pokal,2019-05-18,2019-05-19,WAG,senior,International Event,,,16
Cups / opens / trophies / invitationals,381,2019,Slovakian Cup,2019-05-24,2019-05-25,WAG,junior and senior,International Event,,,19
Cups / opens / trophies / invitationals,408,2019,Züri-Oberland Cup,2019-05-25,2019-05-26,WAG,junior and senior,International Event,,,60
Other named international meets,440,2019,IAG SportEvent,2019-05-30,2019-06-02,WAG,junior and senior,International Event,,,105
Games / festivals / multi-sport events,380,2019,Gym Festival Trnava,2019-06-01,2019-06-02,WAG,junior and senior,International Event,,,232
Cups / opens / trophies / invitationals,322,2019,Singapore Open,2019-06-01,2019-06-03,MAG and WAG,junior and senior,International Event,,,514
Other named international meets,400,2019,Mexican Pan Ams Selection,2019-06-03,2019-06-03,WAG,senior,International Event,,,48
Cups / opens / trophies / invitationals,390,2019,Petrom Cup,2019-06-07,2019-06-09,WAG,junior,International Event,,,126
Cups / opens / trophies / invitationals,399,2019,FIT Challenge,2019-06-08,2019-06-09,WAG,junior and senior,International Event,,,925
Cups / opens / trophies / invitationals,382,2019,Slovenian Cup,2019-06-08,2019-06-09,WAG,junior and senior,International Event,,,103
Other named international meets,351,2019,Portuguese Super Finals,2019-06-09,2019-06-09,MAG and WAG,junior and senior,International Event,,,206
Cups / opens / trophies / invitationals,333,2019,Asian Junior Cup,2019-06-12,2019-06-15,MAG and WAG,junior,International Event,,,324
Other named international meets,395,2019,Swiss Turnfest,2019-06-15,2019-06-16,WAG,junior and senior,International Event,,,430
Cups / opens / trophies / invitationals,343,2019,Korea Cup,2019-06-18,2019-06-19,MAG and WAG,senior,International Event,,,131
Regional or sub-continental events,262,2019,South American Championships,2019-06-18,2019-06-23,MAG and WAG,senior,International Event,,,426
Cups / opens / trophies / invitationals,433,2019,Hopes Classic,2019-06-21,2019-06-21,WAG,junior,International Event,,,276
Cups / opens / trophies / invitationals,429,2019,Sarreguemines Cup,2019-06-21,2019-06-22,WAG,junior and senior,International Event,,,137
Cups / opens / trophies / invitationals,367,2019,American Classic,2019-06-22,2019-06-22,WAG,junior and senior,International Event,,,169
Games / festivals / multi-sport events,241,2019,European Games,2019-06-27,2019-06-30,MAG and WAG,senior,International Event,,,763
Games / festivals / multi-sport events,239,2019,Summer Universiade,2019-07-05,2019-07-15,MAG and WAG,senior,International Event,,,962
Cups / opens / trophies / invitationals,353,2019,Lingvallen Cup,2019-07-06,2019-07-06,MAG,junior,International Event,,,112
Cups / opens / trophies / invitationals,396,2019,Sainté Gym Cup,2019-07-06,2019-07-06,WAG,junior,International Event,,,123
Games / festivals / multi-sport events,271,2019,European Youth Olympic Festival,2019-07-20,2019-07-28,MAG and WAG,junior,International Event,,,1451
Cups / opens / trophies / invitationals,368,2019,U.S. Classic,2019-07-20,2019-07-20,WAG,junior and senior,International Event,,,273
Regional or sub-continental events,261,2019,Pan American Games,2019-07-26,2019-07-31,MAG and WAG,senior,International Event,,,1012
Games / festivals / multi-sport events,411,2019,International Youth Games,2019-08-02,2019-08-03,WAG,junior,International Event,,,41
Cups / opens / trophies / invitationals,303,2019,Russian Cup,2019-08-23,2019-08-27,MAG and WAG,junior and senior,International Event,,,768
Preparation / test / friendly events,349,2019,Cardiff Men's Friendly,2019-08-24,2019-08-24,MAG,senior,International Event,,,295
Preparation / test / friendly events,266,2019,Magglingen Men's Friendly,2019-08-24,2019-08-24,MAG,senior,International Event,,,118
Games / festivals / multi-sport events,278,2019,African Games,2019-08-26,2019-08-29,MAG and WAG,senior,International Event,,,410
Preparation / test / friendly events,419,2019,Heerenveen Friendly,2019-08-31,2019-08-31,WAG,senior,International Event,,,101
Preparation / test / friendly events,263,2019,Heerenveen Men's Friendly,2019-09-07,2019-09-07,MAG,senior,International Event,,,217
Preparation / test / friendly events,422,2019,Worms Friendly,2019-09-07,2019-09-07,WAG,senior,International Event,,,106
Preparation / test / friendly events,414,2019,2nd Heerenveen Friendly,2019-09-14,2019-09-14,WAG,senior,International Event,,,120
Other named international meets,407,2019,2nd Norwegian FIG Meet,2019-09-14,2019-09-15,WAG,junior and senior,International Event,,,162
Preparation / test / friendly events,328,2019,Backnang Men's Friendly,2019-09-14,2019-09-14,MAG,senior,International Event,,,108
Cups / opens / trophies / invitationals,403,2019,Australian Classic,2019-09-15,2019-09-18,WAG,junior and senior,International Event,,,394
Regional or sub-continental events,338,2019,Northern European Championships,2019-09-21,2019-09-22,MAG and WAG,junior and senior,International Event,,,422
Regional or sub-continental events,228,2019,Mediterranean Championships,2019-09-26,2019-09-28,MAG and WAG,junior,International Event,,,394
Other named international meets,405,2019,3rd Norwegian FIG Meet,2019-09-28,2019-09-29,WAG,junior and senior,International Event,,,189
Regional or sub-continental events,355,2019,South American Junior Championships,2019-10-18,2019-10-20,MAG and WAG,junior,International Event,,,463
Cups / opens / trophies / invitationals,409,2019,German Junior Cup,2019-10-19,2019-10-20,WAG,junior,International Event,,,306
Cups / opens / trophies / invitationals,249,2019,Hungarian Masters,2019-10-25,2019-10-26,MAG and WAG,junior and senior,International Event,,,245
Cups / opens / trophies / invitationals,297,2019,Salamunov Memorial,2019-10-25,2019-10-27,MAG and WAG,junior and senior,International Event,,,1089
Cups / opens / trophies / invitationals,348,2019,Brabant Trophy,2019-10-26,2019-10-27,MAG and WAG,senior,International Event,,,42
Other named international meets,363,2019,Rushmoor Rose Bowl,2019-10-26,2019-10-27,WAG,junior and senior,International Event,,,405
Cups / opens / trophies / invitationals,218,2019,Wase Gymcup,2019-10-26,2019-10-27,MAG and WAG,junior and senior,International Event,,,426
Cups / opens / trophies / invitationals,393,2019,Leverkusen Cup,2019-10-27,2019-10-27,WAG,junior and senior,International Event,,,125
Cups / opens / trophies / invitationals,330,2019,Arthur Gander Memorial,2019-10-30,2019-10-30,MAG and WAG,senior,International Event,,,70
Cups / opens / trophies / invitationals,216,2019,Mälar Cup,2019-11-01,2019-11-03,MAG and WAG,junior and senior,International Event,,,911
Cups / opens / trophies / invitationals,404,2019,Swiss Cup Juniors,2019-11-01,2019-11-01,WAG,junior,International Event,,,104
Cups / opens / trophies / invitationals,325,2019,Swiss Cup,2019-11-03,2019-11-03,MAG and WAG,senior,International Event,,,52
Cups / opens / trophies / invitationals,270,2019,Horizon Cup,2019-11-08,2019-11-10,MAG and WAG,junior and senior,International Event,,,819
Other named international meets,377,2019,Björk International,2019-11-09,2019-11-10,WAG,junior,International Event,,,340
Cups / opens / trophies / invitationals,388,2019,Gymnova Cup,2019-11-09,2019-11-10,WAG,junior and senior,International Event,,,319
Other named international meets,406,2019,GymStars International,2019-11-16,2019-11-17,WAG,junior and senior,International Event,,,205
Cups / opens / trophies / invitationals,397,2019,Swedish Cup,2019-11-16,2019-11-17,WAG,junior and senior,International Event,,,154
