event_id,name,year,start_date,end_date,discipline,category,old_level,new_level,result_count
1164,Polish Championships,2023,2023-03-11,2023-03-12,WAG,junior and senior,International Event,National Event,318
1323,Polish Championships,2024,2024-03-23,2024-03-24,MAG and WAG,junior and senior,International Event,National Event,658
1441,Polish Championships,2025,2025-04-11,2025-04-13,MAG and WAG,junior and senior,International Event,National Event,702
1717,Polish Championships,2026,2026-05-15,2026-05-17,WAG,junior and senior,International Event,National Event,425
136,Portuguese Championships,2018,2018-05-20,2018-05-20,MAG and WAG,junior and senior,International Event,National Event,240
350,Portuguese Championships,2019,2019-05-11,2019-05-12,MAG and WAG,junior and senior,International Event,National Event,220
872,Portuguese Championships,2022,2022-05-21,2022-05-21,MAG and WAG,junior and senior,International Event,National Event,204
1101,Portuguese Championships,2023,2023-05-13,2023-05-14,MAG and WAG,junior and senior,International Event,National Event,285
1324,Portuguese Championships,2024,2024-05-25,2024-05-26,MAG and WAG,junior and senior,International Event,National Event,196
437,Puerto Rican Championships,2019,2019-06-15,2019-06-15,WAG,junior and senior,International Event,National Event,45
1712,Rochester National Qualifier,2026,2026-02-13,2026-02-15,WAG,junior and senior,International Event,National Event,84
49,Romanian Championships,2018,2018-10-12,2018-10-14,MAG and WAG,junior and senior,International Event,National Event,461
260,Romanian Championships,2019,2019-09-06,2019-09-08,MAG and WAG,junior and senior,International Event,National Event,373
486,Romanian Championships,2020,2020-11-18,2020-11-21,MAG and WAG,junior and senior,International Event,National Event,379
613,Romanian Championships,2021,2021-09-17,2021-09-19,MAG and WAG,junior and senior,International Event,National Event,390
797,Romanian Championships,2022,2022-09-30,2022-10-02,MAG and WAG,junior and senior,International Event,National Event,532
1068,Romanian Championships,2023,2023-09-01,2023-09-03,MAG and WAG,junior and senior,International Event,National Event,410
1513,Romanian Championships,2025,2025-10-02,2025-10-04,MAG and WAG,junior and senior,International Event,National Event,355
430,Romanian Individual Championships,2019,2019-10-18,2019-10-20,WAG,junior,International Event,National Event,169
1301,Romanian Individual Championships,2024,2024-11-15,2024-11-17,MAG and WAG,junior and senior,International Event,National Event,354
391,Romanian Junior Championships,2019,2019-06-14,2019-06-14,WAG,junior,International Event,National Event,207
680,Romanian Junior Championships,2021,2021-06-11,2021-06-11,WAG,junior and senior,International Event,National Event,122
903,Romanian Junior Championships,2022,2022-07-02,2022-07-03,WAG,junior,International Event,National Event,172
